coicop,date,variable,values
Headline inflation,2013-07-01,1-year inflation,0.006422781973302783
Headline inflation,2013-07-01,3-year inflation,0.0041084577118108
Headline inflation,2013-08-01,1-year inflation,0.006459190758788037
Headline inflation,2013-08-01,3-year inflation,0.004131657187750921
Headline inflation,2013-09-01,1-year inflation,0.006218743322661658
Headline inflation,2013-09-01,3-year inflation,0.004280069800573515
Headline inflation,2013-10-01,1-year inflation,0.0063620103781390856
Headline inflation,2013-10-01,3-year inflation,0.003973081435569478
Headline inflation,2013-11-01,1-year inflation,0.008226583257478406
Headline inflation,2013-11-01,3-year inflation,0.004372945792681752
Headline inflation,2013-12-01,1-year inflation,0.006365177160463498
Headline inflation,2013-12-01,3-year inflation,0.004333111743467056
Headline inflation,2014-01-01,1-year inflation,0.005215735524688539
Headline inflation,2014-01-01,3-year inflation,0.0038838606875230856
Headline inflation,2014-02-01,1-year inflation,0.005110384989744484
Headline inflation,2014-02-01,3-year inflation,0.0033358022284036525
Headline inflation,2014-03-01,1-year inflation,0.005213669472024505
Headline inflation,2014-03-01,3-year inflation,0.0039352495780361155
Headline inflation,2014-04-01,1-year inflation,0.005185444411344162
Headline inflation,2014-04-01,3-year inflation,0.0038626245245999367
Headline inflation,2014-05-01,1-year inflation,0.005383669400030987
Headline inflation,2014-05-01,3-year inflation,0.003972312054208117
Headline inflation,2014-06-01,1-year inflation,0.005020719824514582
Headline inflation,2014-06-01,3-year inflation,0.003767143961302299
Headline inflation,2014-07-01,1-year inflation,0.005059943173960752
Headline inflation,2014-07-01,3-year inflation,0.0035780442631004423
Headline inflation,2014-08-01,1-year inflation,0.005139421933985709
Headline inflation,2014-08-01,3-year inflation,0.0032639587440632697
Headline inflation,2014-09-01,1-year inflation,0.005136632112053567
Headline inflation,2014-09-01,3-year inflation,0.00402765023375301
Headline inflation,2014-10-01,1-year inflation,0.005060781323313136
Headline inflation,2014-10-01,3-year inflation,0.004282165881141112
Headline inflation,2014-11-01,1-year inflation,0.004578228542179215
Headline inflation,2014-11-01,3-year inflation,0.004749814647882846
Headline inflation,2014-12-01,1-year inflation,0.005832263943830068
Headline inflation,2014-12-01,3-year inflation,0.004857393748016361
Headline inflation,2015-01-01,1-year inflation,0.005038279879503262
Headline inflation,2015-01-01,3-year inflation,0.004232403324926105
Headline inflation,2015-02-01,1-year inflation,0.004580623394432099
Headline inflation,2015-02-01,3-year inflation,0.003514781464881127
Headline inflation,2015-03-01,1-year inflation,0.0047338649730223215
Headline inflation,2015-03-01,3-year inflation,0.003992463208507642
Headline inflation,2015-04-01,1-year inflation,0.006612643580933841
Headline inflation,2015-04-01,3-year inflation,0.004592802744914124
Headline inflation,2015-05-01,1-year inflation,0.007459543392823344
Headline inflation,2015-05-01,3-year inflation,0.0048183681169081454
Headline inflation,2015-06-01,1-year inflation,0.005132101063276821
Headline inflation,2015-06-01,3-year inflation,0.00453464259498839
Headline inflation,2015-07-01,1-year inflation,0.006057907156686599
Headline inflation,2015-07-01,3-year inflation,0.0047150186934261
Headline inflation,2015-08-01,1-year inflation,0.005669695637522615
Headline inflation,2015-08-01,3-year inflation,0.004308939595098782
Headline inflation,2015-09-01,1-year inflation,0.006325363417165664
Headline inflation,2015-09-01,3-year inflation,0.005028775442908612
Headline inflation,2015-10-01,1-year inflation,0.006834454291760083
Headline inflation,2015-10-01,3-year inflation,0.0052350915795429925
Headline inflation,2015-11-01,1-year inflation,0.00354847197525564
Headline inflation,2015-11-01,3-year inflation,0.004401043581501502
Headline inflation,2015-12-01,1-year inflation,0.0034185435463487484
Headline inflation,2015-12-01,3-year inflation,0.004194824772825357
Headline inflation,2016-01-01,1-year inflation,0.004682630203778293
Headline inflation,2016-01-01,3-year inflation,0.004265531744796795
Headline inflation,2016-02-01,1-year inflation,0.004652812537154693
Headline inflation,2016-02-01,3-year inflation,0.0038869368920963557
Headline inflation,2016-03-01,1-year inflation,0.005412907183031477
Headline inflation,2016-03-01,3-year inflation,0.004419279543710217
Headline inflation,2016-04-01,1-year inflation,0.005341206402564919
Headline inflation,2016-04-01,3-year inflation,0.004679444235641024
Headline inflation,2016-05-01,1-year inflation,0.00525545510350845
Headline inflation,2016-05-01,3-year inflation,0.004726802749211646
Headline inflation,2016-06-01,1-year inflation,0.005302021851485455
Headline inflation,2016-06-01,3-year inflation,0.004167688622396675
Headline inflation,2016-07-01,1-year inflation,0.00553318091691459
Headline inflation,2016-07-01,3-year inflation,0.004429605392578491
Headline inflation,2016-08-01,1-year inflation,0.004715798760347192
Headline inflation,2016-08-01,3-year inflation,0.004227249236184378
