coicop,date,weighted_yes_no,values
Core inflation,2019-04-01,Weighted,0.0061845510008668
Headline inflation,2019-04-01,Weighted,0.005045554417367974
Core inflation,2019-03-01,Unweighted,0.006064564895227114
Headline inflation,2019-03-01,Unweighted,0.006848741720775776
Core inflation,2019-03-01,Weighted,0.0045619836840201855
Headline inflation,2019-03-01,Weighted,0.004521250495526135
Core inflation,2019-02-01,Unweighted,0.006158220864058573
Headline inflation,2019-02-01,Unweighted,0.006290134296951394
Core inflation,2019-02-01,Weighted,0.005124750369337556
Headline inflation,2019-02-01,Weighted,0.004191793886419124
Core inflation,2019-01-01,Unweighted,0.0061095266420135765
Headline inflation,2019-01-01,Unweighted,0.006917559654888952
Core inflation,2019-01-01,Weighted,0.005271539188189415
Headline inflation,2019-01-01,Weighted,0.004144032429541823
Core inflation,2018-12-01,Unweighted,0.006326843396862377
Headline inflation,2018-12-01,Unweighted,0.0066292811390868496
Core inflation,2018-12-01,Weighted,0.0038047677504411555
Headline inflation,2018-12-01,Weighted,0.0038467097792913387
Core inflation,2018-11-01,Unweighted,0.006403946151849613
Headline inflation,2018-11-01,Unweighted,0.006786984447804257
Core inflation,2018-11-01,Weighted,0.003262806611406544
Headline inflation,2018-11-01,Weighted,0.004167460402141794
Core inflation,2018-10-01,Unweighted,0.007574194416083573
Headline inflation,2018-10-01,Unweighted,0.008116908926821575
Core inflation,2018-10-01,Weighted,0.005122084645652474
Headline inflation,2018-10-01,Weighted,0.0048295193657410815
Core inflation,2018-09-01,Unweighted,0.007052248614896939
Headline inflation,2018-09-01,Unweighted,0.006660764931573867
Core inflation,2018-09-01,Weighted,0.0042050935940537515
Headline inflation,2018-09-01,Weighted,0.0043777190639700475
Core inflation,2018-08-01,Unweighted,0.007154498033074239
Headline inflation,2018-08-01,Unweighted,0.006634042984168061
Core inflation,2018-08-01,Weighted,0.003802358249247959
Headline inflation,2018-08-01,Weighted,0.00440517786895505
Core inflation,2018-07-01,Unweighted,0.006722115894959202
Headline inflation,2018-07-01,Unweighted,0.00603389548607217
Core inflation,2018-07-01,Weighted,0.0035848211811005007
Headline inflation,2018-07-01,Weighted,0.003811600054295381
Core inflation,2018-06-01,Unweighted,0.006279456899077215
Headline inflation,2018-06-01,Unweighted,0.007183863496534584
Core inflation,2018-06-01,Weighted,0.0033593677799205225
Headline inflation,2018-06-01,Weighted,0.004369254932466912
Core inflation,2018-05-01,Unweighted,0.006112110497761155
Headline inflation,2018-05-01,Unweighted,0.007108186533109108
Core inflation,2018-05-01,Weighted,0.0052010349935091
Headline inflation,2018-05-01,Weighted,0.0060202749507049244
Core inflation,2018-04-01,Unweighted,0.007556802442693254
Headline inflation,2018-04-01,Unweighted,0.008917162635821117
Core inflation,2018-04-01,Weighted,0.004371245056462041
Headline inflation,2018-04-01,Weighted,0.005183390875936519
Core inflation,2018-03-01,Unweighted,0.006290134296951394
Headline inflation,2018-03-01,Unweighted,0.008169906267580592
Core inflation,2018-03-01,Weighted,0.004522387343717426
Headline inflation,2018-03-01,Weighted,0.004409903749741953
Core inflation,2018-02-01,Unweighted,0.006027131638638208
Headline inflation,2018-02-01,Unweighted,0.008723833054219615
Core inflation,2018-02-01,Weighted,0.004199485480046859
Headline inflation,2018-02-01,Weighted,0.004146199197339525
Core inflation,2018-01-01,Unweighted,0.00712002365460293
Headline inflation,2018-01-01,Unweighted,0.011271295633739624
Core inflation,2018-01-01,Weighted,0.003476119314005377
Headline inflation,2018-01-01,Weighted,0.004483812104225771
Core inflation,2017-12-01,Unweighted,0.006382541978339286
Headline inflation,2017-12-01,Unweighted,0.009955691310686778
Core inflation,2017-12-01,Weighted,0.004249842922081046
Headline inflation,2017-12-01,Weighted,0.0040892729007069775
Core inflation,2017-11-01,Unweighted,0.007096885899722795
Headline inflation,2017-11-01,Unweighted,0.010569444540501495
Core inflation,2017-11-01,Weighted,0.0046405129293373764
Headline inflation,2017-11-01,Weighted,0.004431949660385618
Core inflation,2017-10-01,Unweighted,0.007680974444759768
Headline inflation,2017-10-01,Unweighted,0.010313379149128776
Core inflation,2017-10-01,Weighted,0.004841757057247028
Headline inflation,2017-10-01,Weighted,0.004308213186561322
Core inflation,2017-09-01,Unweighted,0.007857279561353483
Headline inflation,2017-09-01,Unweighted,0.01096117550361514
Core inflation,2017-09-01,Weighted,0.005234255481952553
Headline inflation,2017-09-01,Weighted,0.004900093766084116
Core inflation,2017-08-01,Unweighted,0.008388588740225116
Headline inflation,2017-08-01,Unweighted,0.011205614194397567
Core inflation,2017-08-01,Weighted,0.005552837852180866
Headline inflation,2017-08-01,Weighted,0.005090046397060072
Core inflation,2017-07-01,Unweighted,0.007926471306225808
Headline inflation,2017-07-01,Unweighted,0.010748806543298803
Core inflation,2017-07-01,Weighted,0.005165285494320507
Headline inflation,2017-07-01,Weighted,0.00494949648171635
Core inflation,2017-06-01,Unweighted,0.007573325765995725
Headline inflation,2017-06-01,Unweighted,0.009411499125509903
Core inflation,2017-06-01,Weighted,0.005521670926533102
Headline inflation,2017-06-01,Weighted,0.00477225132702882
Core inflation,2017-05-01,Unweighted,0.006963060428167761
Headline inflation,2017-05-01,Unweighted,0.008515465806092868
Core inflation,2017-05-01,Weighted,0.004224225674149778
Headline inflation,2017-05-01,Weighted,0.004647816228950764
Core inflation,2017-04-01,Unweighted,0.006969104752594237
Headline inflation,2017-04-01,Unweighted,0.008656606847100264
Core inflation,2017-04-01,Weighted,0.0048552497608506445
Headline inflation,2017-04-01,Weighted,0.00480248516787795
Core inflation,2017-03-01,Unweighted,0.006206109044617587
Headline inflation,2017-03-01,Unweighted,0.00815959235307874
Core inflation,2017-03-01,Weighted,0.003532200596817253
Headline inflation,2017-03-01,Weighted,0.0043086824482711705
Core inflation,2017-02-01,Unweighted,0.005735163926441676
Headline inflation,2017-02-01,Unweighted,0.008829376803424016
Core inflation,2017-02-01,Weighted,0.004258199737847839
Headline inflation,2017-02-01,Weighted,0.006084603782761306
Core inflation,2017-01-01,Unweighted,0.005132712425424325
Headline inflation,2017-01-01,Unweighted,0.008482024336330642
Core inflation,2017-01-01,Weighted,0.0033725681211996495
Headline inflation,2017-01-01,Weighted,0.006321253102541171
Core inflation,2016-12-01,Unweighted,0.005476264573978373
Headline inflation,2016-12-01,Unweighted,0.007522597535706037
Core inflation,2016-12-01,Weighted,0.0041268861794260744
Headline inflation,2016-12-01,Weighted,0.005314339006751327
Core inflation,2016-11-01,Unweighted,0.005113449757360742
Headline inflation,2016-11-01,Unweighted,0.006366854961852293
Core inflation,2016-11-01,Weighted,0.003634614380934806
Headline inflation,2016-11-01,Weighted,0.004133578774546989
Core inflation,2016-10-01,Unweighted,0.006027131638638208
Headline inflation,2016-10-01,Unweighted,0.006750438582242755
Core inflation,2016-10-01,Weighted,0.003888172402689088
Headline inflation,2016-10-01,Weighted,0.004603895777907427
Core inflation,2016-09-01,Unweighted,0.00599473453167554
Headline inflation,2016-09-01,Unweighted,0.006697210731263231
Core inflation,2016-09-01,Weighted,0.0036465288443275085
Headline inflation,2016-09-01,Weighted,0.0042740436489012035
Core inflation,2016-08-01,Unweighted,0.007211832382674287
Headline inflation,2016-08-01,Unweighted,0.007649389380515078
Core inflation,2016-08-01,Weighted,0.0040032168751204635
Headline inflation,2016-08-01,Weighted,0.004751354860606753
Core inflation,2016-07-01,Unweighted,0.007486654793697917
Headline inflation,2016-07-01,Unweighted,0.007203069521135818
Core inflation,2016-07-01,Weighted,0.004672952556735142
Headline inflation,2016-07-01,Weighted,0.005594439948577359
Core inflation,2016-06-01,Unweighted,0.007715159376871375
Headline inflation,2016-06-01,Unweighted,0.008267087567100356
Core inflation,2016-06-01,Weighted,0.0039549817954830846
Headline inflation,2016-06-01,Weighted,0.0053757713792833796
Core inflation,2016-05-01,Unweighted,0.006432646995477138
Headline inflation,2016-05-01,Unweighted,0.00787801738350055
Core inflation,2016-05-01,Weighted,0.0037087583356552488
Headline inflation,2016-05-01,Weighted,0.005292652585328929
Core inflation,2016-04-01,Unweighted,0.005897367833908706
Headline inflation,2016-04-01,Unweighted,0.008014953130506161
Core inflation,2016-04-01,Weighted,0.003486701133334085
Headline inflation,2016-04-01,Weighted,0.005333449151060404
Core inflation,2016-03-01,Unweighted,0.006210983480051584
Headline inflation,2016-03-01,Unweighted,0.008718401591793616
Core inflation,2016-03-01,Weighted,0.003982308661841543
Headline inflation,2016-03-01,Weighted,0.005409448461743605
Core inflation,2016-02-01,Unweighted,0.007609550785551979
Headline inflation,2016-02-01,Unweighted,0.007684571008127089
Core inflation,2016-02-01,Weighted,0.003653108773032581
Headline inflation,2016-02-01,Weighted,0.004640221386411958
Core inflation,2016-01-01,Unweighted,0.006714281714924421
Headline inflation,2016-01-01,Unweighted,0.007003006872990909
Core inflation,2016-01-01,Weighted,0.004108057960655875
Headline inflation,2016-01-01,Weighted,0.00460787882406398
Core inflation,2015-12-01,Unweighted,0.006345118305893869
Headline inflation,2015-12-01,Unweighted,0.0060600069480592446
Core inflation,2015-12-01,Weighted,0.003899906706412183
Headline inflation,2015-12-01,Weighted,0.0034800867081002302
Core inflation,2015-11-01,Unweighted,0.007056911505750941
Headline inflation,2015-11-01,Unweighted,0.006762901899721979
Core inflation,2015-11-01,Weighted,0.003451734525471844
Headline inflation,2015-11-01,Weighted,0.003537219715216135
Core inflation,2015-10-01,Unweighted,0.007877182237323192
Headline inflation,2015-10-01,Unweighted,0.008192422686463646
Core inflation,2015-10-01,Weighted,0.008542693878174273
Headline inflation,2015-10-01,Weighted,0.006778460724987658
Core inflation,2015-09-01,Unweighted,0.007571414385005862
Headline inflation,2015-09-01,Unweighted,0.008363297007885424
Core inflation,2015-09-01,Weighted,0.00828136520672692
Headline inflation,2015-09-01,Weighted,0.006277507318843853
Core inflation,2015-08-01,Unweighted,0.00728715524597544
Headline inflation,2015-08-01,Unweighted,0.007619918496594096
Core inflation,2015-08-01,Weighted,0.00831945135289661
Headline inflation,2015-08-01,Weighted,0.005655867617696592
Core inflation,2015-07-01,Unweighted,0.007917169882437059
Headline inflation,2015-07-01,Unweighted,0.00874131147573346
Core inflation,2015-07-01,Weighted,0.008166751900419347
Headline inflation,2015-07-01,Weighted,0.006061178152776877
Core inflation,2015-06-01,Unweighted,0.007970174666249562
Headline inflation,2015-06-01,Unweighted,0.008051642526119814
Core inflation,2015-06-01,Weighted,0.007401085720848487
Headline inflation,2015-06-01,Weighted,0.0051218063553732625
Core inflation,2015-05-01,Unweighted,0.009077879418500892
Headline inflation,2015-05-01,Unweighted,0.008506963092234006
Core inflation,2015-05-01,Weighted,0.009763642155755488
Headline inflation,2015-05-01,Weighted,0.007463112109667217
