coicop,date,variable,values
Inflation globale,2011-05-01,Inflation sur 1 an,0.005568650088181172
Inflation globale,2011-05-01,Inflation sur 3 ans,0.004960349204676521
Inflation globale,2011-06-01,Inflation sur 1 an,0.005187585536996974
Inflation globale,2011-06-01,Inflation sur 3 ans,0.005059890342137417
Inflation globale,2011-07-01,Inflation sur 1 an,0.0061390773524452845
Inflation globale,2011-07-01,Inflation sur 3 ans,0.0045272904084553214
Inflation globale,2011-08-01,Inflation sur 1 an,0.00519571409555679
Inflation globale,2011-08-01,Inflation sur 3 ans,0.004188565082815979
Inflation globale,2011-09-01,Inflation sur 1 an,0.005256969218332773
Inflation globale,2011-09-01,Inflation sur 3 ans,0.005016795201761422
Inflation globale,2011-10-01,Inflation sur 1 an,0.005092575720611062
Inflation globale,2011-10-01,Inflation sur 3 ans,0.004739067029466533
Inflation globale,2011-11-01,Inflation sur 1 an,0.005103453943896197
Inflation globale,2011-11-01,Inflation sur 3 ans,0.004743011533651859
Inflation globale,2011-12-01,Inflation sur 1 an,0.006140982768688937
Inflation globale,2011-12-01,Inflation sur 3 ans,0.004553153834112459
Inflation globale,2012-01-01,Inflation sur 1 an,0.00521916760384165
Inflation globale,2012-01-01,Inflation sur 3 ans,0.004342458320862731
Inflation globale,2012-02-01,Inflation sur 1 an,0.005548806543605322
Inflation globale,2012-02-01,Inflation sur 3 ans,0.0038308810020725955
Inflation globale,2012-03-01,Inflation sur 1 an,0.0068428565878206156
Inflation globale,2012-03-01,Inflation sur 3 ans,0.004331602032265992
Inflation globale,2012-04-01,Inflation sur 1 an,0.006110125919620703
Inflation globale,2012-04-01,Inflation sur 3 ans,0.004584476705473183
Inflation globale,2012-05-01,Inflation sur 1 an,0.006397224249499824
Inflation globale,2012-05-01,Inflation sur 3 ans,0.004361255337836265
Inflation globale,2012-06-01,Inflation sur 1 an,0.007132082653048793
Inflation globale,2012-06-01,Inflation sur 3 ans,0.004766159347301294
Inflation globale,2012-07-01,Inflation sur 1 an,0.0069388264062666205
Inflation globale,2012-07-01,Inflation sur 3 ans,0.0036498424454285664
Inflation globale,2012-08-01,Inflation sur 1 an,0.005227811708323062
Inflation globale,2012-08-01,Inflation sur 3 ans,0.0033656633615014604
Inflation globale,2012-09-01,Inflation sur 1 an,0.007337421285339057
Inflation globale,2012-09-01,Inflation sur 3 ans,0.004661719675747728
Inflation globale,2012-10-01,Inflation sur 1 an,0.006354889214071322
Inflation globale,2012-10-01,Inflation sur 3 ans,0.004440857858846392
Inflation globale,2012-11-01,Inflation sur 1 an,0.006665657786723081
Inflation globale,2012-11-01,Inflation sur 3 ans,0.004052780199359121
Inflation globale,2012-12-01,Inflation sur 1 an,0.0069064627861377265
Inflation globale,2012-12-01,Inflation sur 3 ans,0.003980467635196857
Inflation globale,2013-01-01,Inflation sur 1 an,0.0073591602153614075
Inflation globale,2013-01-01,Inflation sur 3 ans,0.0036218028606376886
Inflation globale,2013-02-01,Inflation sur 1 an,0.007520851132631645
Inflation globale,2013-02-01,Inflation sur 3 ans,0.003825223841759198
Inflation globale,2013-03-01,Inflation sur 1 an,0.006971466116058092
Inflation globale,2013-03-01,Inflation sur 3 ans,0.003767908339680034
Inflation globale,2013-04-01,Inflation sur 1 an,0.006146563203587858
Inflation globale,2013-04-01,Inflation sur 3 ans,0.0037233334529787666
Inflation globale,2013-05-01,Inflation sur 1 an,0.006296707554123012
Inflation globale,2013-05-01,Inflation sur 3 ans,0.004021992074164333
Inflation globale,2013-06-01,Inflation sur 1 an,0.006703078031292311
Inflation globale,2013-06-01,Inflation sur 3 ans,0.003873359034136375
Inflation globale,2013-07-01,Inflation sur 1 an,0.006422781973302783
Inflation globale,2013-07-01,Inflation sur 3 ans,0.0041084577118108
Inflation globale,2013-08-01,Inflation sur 1 an,0.006459190758788037
Inflation globale,2013-08-01,Inflation sur 3 ans,0.004131657187750921
Inflation globale,2013-09-01,Inflation sur 1 an,0.006218743322661658
Inflation globale,2013-09-01,Inflation sur 3 ans,0.004280069800573515
Inflation globale,2013-10-01,Inflation sur 1 an,0.0063620103781390856
Inflation globale,2013-10-01,Inflation sur 3 ans,0.003973081435569478
Inflation globale,2013-11-01,Inflation sur 1 an,0.008226583257478406
Inflation globale,2013-11-01,Inflation sur 3 ans,0.004372945792681752
Inflation globale,2013-12-01,Inflation sur 1 an,0.006365177160463498
Inflation globale,2013-12-01,Inflation sur 3 ans,0.004333111743467056
Inflation globale,2014-01-01,Inflation sur 1 an,0.005215735524688539
Inflation globale,2014-01-01,Inflation sur 3 ans,0.0038838606875230856
Inflation globale,2014-02-01,Inflation sur 1 an,0.005110384989744484
Inflation globale,2014-02-01,Inflation sur 3 ans,0.0033358022284036525
Inflation globale,2014-03-01,Inflation sur 1 an,0.005213669472024505
Inflation globale,2014-03-01,Inflation sur 3 ans,0.0039352495780361155
Inflation globale,2014-04-01,Inflation sur 1 an,0.005185444411344162
Inflation globale,2014-04-01,Inflation sur 3 ans,0.0038626245245999367
Inflation globale,2014-05-01,Inflation sur 1 an,0.005383669400030987
Inflation globale,2014-05-01,Inflation sur 3 ans,0.003972312054208117
Inflation globale,2014-06-01,Inflation sur 1 an,0.005020719824514582
Inflation globale,2014-06-01,Inflation sur 3 ans,0.003767143961302299
Inflation globale,2014-07-01,Inflation sur 1 an,0.005059943173960752
Inflation globale,2014-07-01,Inflation sur 3 ans,0.0035780442631004423
Inflation globale,2014-08-01,Inflation sur 1 an,0.005139421933985709
Inflation globale,2014-08-01,Inflation sur 3 ans,0.0032639587440632697
Inflation globale,2014-09-01,Inflation sur 1 an,0.005136632112053567
Inflation globale,2014-09-01,Inflation sur 3 ans,0.00402765023375301
Inflation globale,2014-10-01,Inflation sur 1 an,0.005060781323313136
