coicop,date,weighted_yes_no,values
Inflation globale,2020-02-01,Écart-type pondéré,0.006263104345263708
Inflation sous-jacente,2020-01-01,Écart-type non-pondéré,0.00756915485791894
Inflation globale,2020-01-01,Écart-type non-pondéré,0.007409098247567329
Inflation sous-jacente,2020-01-01,Écart-type pondéré,0.004912961372270759
Inflation globale,2020-01-01,Écart-type pondéré,0.005437828352380205
Inflation sous-jacente,2019-12-01,Écart-type non-pondéré,0.00735848954752622
Inflation globale,2019-12-01,Écart-type non-pondéré,0.0076631380132766965
Inflation sous-jacente,2019-12-01,Écart-type pondéré,0.0052460596249199985
Inflation globale,2019-12-01,Écart-type pondéré,0.006011150443466442
Inflation sous-jacente,2019-11-01,Écart-type non-pondéré,0.006509911471627019
Inflation globale,2019-11-01,Écart-type non-pondéré,0.00790253124005214
Inflation sous-jacente,2019-11-01,Écart-type pondéré,0.005199729810227217
Inflation globale,2019-11-01,Écart-type pondéré,0.00606932101483456
Inflation sous-jacente,2019-10-01,Écart-type non-pondéré,0.0072509527504648445
Inflation globale,2019-10-01,Écart-type non-pondéré,0.00932723798458325
Inflation sous-jacente,2019-10-01,Écart-type pondéré,0.004546939947955291
Inflation globale,2019-10-01,Écart-type pondéré,0.006467596952195185
Inflation sous-jacente,2019-09-01,Écart-type non-pondéré,0.008121446591392576
Inflation globale,2019-09-01,Écart-type non-pondéré,0.009731122075182556
Inflation sous-jacente,2019-09-01,Écart-type pondéré,0.004696422713911069
Inflation globale,2019-09-01,Écart-type pondéré,0.006440854290154751
Inflation sous-jacente,2019-08-01,Écart-type non-pondéré,0.007884027824458899
Inflation globale,2019-08-01,Écart-type non-pondéré,0.010112394687500557
Inflation sous-jacente,2019-08-01,Écart-type pondéré,0.005455598320278974
Inflation globale,2019-08-01,Écart-type pondéré,0.006713558922535035
Inflation sous-jacente,2019-07-01,Écart-type non-pondéré,0.008412240455056204
Inflation globale,2019-07-01,Écart-type non-pondéré,0.009974177185428168
Inflation sous-jacente,2019-07-01,Écart-type pondéré,0.004933453939683157
Inflation globale,2019-07-01,Écart-type pondéré,0.006325148050376072
Inflation sous-jacente,2019-06-01,Écart-type non-pondéré,0.006687576856420143
Inflation globale,2019-06-01,Écart-type non-pondéré,0.008632252862010255
Inflation sous-jacente,2019-06-01,Écart-type pondéré,0.005059757384395471
Inflation globale,2019-06-01,Écart-type pondéré,0.005403151633912243
Inflation sous-jacente,2019-05-01,Écart-type non-pondéré,0.007065669409937484
Inflation globale,2019-05-01,Écart-type non-pondéré,0.00904142513219308
Inflation sous-jacente,2019-05-01,Écart-type pondéré,0.004110019091296969
Inflation globale,2019-05-01,Écart-type pondéré,0.004369761631235533
Inflation sous-jacente,2019-04-01,Écart-type non-pondéré,0.006261620775553412
Inflation globale,2019-04-01,Écart-type non-pondéré,0.007397545823482699
Inflation sous-jacente,2019-04-01,Écart-type pondéré,0.0061845510008668
Inflation globale,2019-04-01,Écart-type pondéré,0.005045554417367974
Inflation sous-jacente,2019-03-01,Écart-type non-pondéré,0.006064564895227114
Inflation globale,2019-03-01,Écart-type non-pondéré,0.006848741720775776
Inflation sous-jacente,2019-03-01,Écart-type pondéré,0.0045619836840201855
Inflation globale,2019-03-01,Écart-type pondéré,0.004521250495526135
Inflation sous-jacente,2019-02-01,Écart-type non-pondéré,0.006158220864058573
Inflation globale,2019-02-01,Écart-type non-pondéré,0.006290134296951394
Inflation sous-jacente,2019-02-01,Écart-type pondéré,0.005124750369337556
Inflation globale,2019-02-01,Écart-type pondéré,0.004191793886419124
Inflation sous-jacente,2019-01-01,Écart-type non-pondéré,0.0061095266420135765
Inflation globale,2019-01-01,Écart-type non-pondéré,0.006917559654888952
Inflation sous-jacente,2019-01-01,Écart-type pondéré,0.005271539188189415
Inflation globale,2019-01-01,Écart-type pondéré,0.004144032429541823
Inflation sous-jacente,2018-12-01,Écart-type non-pondéré,0.006326843396862377
Inflation globale,2018-12-01,Écart-type non-pondéré,0.0066292811390868496
Inflation sous-jacente,2018-12-01,Écart-type pondéré,0.0038047677504411555
Inflation globale,2018-12-01,Écart-type pondéré,0.0038467097792913387
Inflation sous-jacente,2018-11-01,Écart-type non-pondéré,0.006403946151849613
Inflation globale,2018-11-01,Écart-type non-pondéré,0.006786984447804257
Inflation sous-jacente,2018-11-01,Écart-type pondéré,0.003262806611406544
Inflation globale,2018-11-01,Écart-type pondéré,0.004167460402141794
